componente,coste_componente_unitario,lote_componente
MAT073,0.8452,1901-001
MAT033,0.5328,1901-002
MAT104,0.0423,1901-003
MAT040,1.95,1901-004
MAT020,0.577,1901-005
MAT020,0.577,1901-006
MAT016,205.58,1901-007
MAT167,4.6,1901-008
MAT039,19.0,1901-009
MAT058,5.7,1901-010
MAT154,2.03,1901-011
MAT074,4.833,1901-012
MAT013,2.147,1901-013
MAT057,1.022,1901-014
MAT020,0.693,1901-015
MAT035,2.97,1901-016
MAT021,1.8878,1901-017
MAT014,10.0,1901-018
MAT174,1.82,1901-019
MAT017,0.239,1901-020
MAT033,0.532,1901-021
MAT073,0.845,1901-022
VAR142,0.331,1901-023
MAT034,5.9,1901-024
MAT035,5.3,1901-025
VAR122,5.03,1901-026
MAT045,4.85,1901-027
MAT178,6.6,1901-028
MAT013,2.147,1901-029
MAT013,2.147,1901-030
MAT020,0.693,1901-031
MAT050,3.15,1901-032
MAT021,1.888,1901-033
MAT071,0.0,1901-034
MAT071,5.92,1901-035
MAT144,0.02,1901-036
VAR113,0.011,1901-037
MAT041,1.68,1901-038
MAT174,1.82,1901-039
MAT038,4.2,1901-040
MAT147,0.0254,1901-041
MAT030,0.68,1901-042
MAT075,6.9576,1901-043
MAT163,0.0,1901-044
MAT132,8.5,1901-045
MAT013,2.147,1901-046
MAT020,0.693,1901-047
MAT037,10.5,1901-048
MAT119,3.58,1901-049
MAT021,1.888,1901-050
MAT042,4.1,1901-051
MAT048,5.8,1901-052
MAT166,3.68,1901-053
MAT033,0.532,1901-054
MAT073,0.845,1901-055
MAT104,0.042,1901-056
MAT173,2.12,1901-057
MAT034,6.5,1901-058
MAT163,0.0,1901-059
MAT130,3.25,1901-060
VAR005,4.5,1901-061
MAT035,5.3,1901-062
MAT113,2.85,1901-063
VAR119,0.0659,1901-064
MAT030,0.68,1901-065
MAT020,0.69,1901-066
MAT057,1.022,1901-067
MAT121,6.317,1901-068
VAR056,17.5,1901-069
MAT174,1.7,1901-070
MAT021,1.888,1901-071
MAT045,3.781,1901-072
MAT048,5.8,1901-073
MAT025,27.25,1901-074
MAT037,10.5,1901-075
VAR076,0.0932,1901-076
MAT119,3.7,1901-077
MAT139,7.72,1901-078
MAT058,5.75,1901-079
MAT178,5.9,1901-080
MAT038,4.2,1901-081
MAT168,0.295,1901-082
MAT172,0.385,1901-083
MAT068,13.25,1901-084
MAT068,5.0,1901-085
MAT144,0.0225,1901-086
VAR112,0.0072,1901-087
MAT039,20.5,1901-088
MAT099,7.1896,1901-089
MAT041,1.68,1901-090
MAT034,5.9,1902-001
MAT035,5.3,1902-002
MAT046,4.85,1902-003
MAT073,0.7184,1902-004
MAT033,0.5008,1902-005
MAT089,2.6366,1902-006
MAT035,5.5,1902-007
MAT039,20.5,1902-008
MAT036,3.5,1902-009
MAT101,0.68,1902-010
MAT043,2.2,1902-011
MAT183,0.0205,1902-012
VAR057,5.8,1902-013
MAT147,0.0277,1902-014
MAT164,54.93,1902-015
MAT154,2.03,1902-016
MAT119,3.8,1902-017
MAT035,5.3,1902-018
MAT046,4.95,1902-019
MAT077,2.308,1902-020
MAT042,3.8,1902-021
MAT003,0.1648,1902-022
MAT005,0.1327,1902-023
MAT013,2.147,1902-024
MAT021,1.8878,1902-025
MAT048,5.8,1902-026
MAT021,1.8878,1902-027
MAT038,4.2,1902-029
MAT174,1.7,1902-030
MAT158,2.1,1902-031
MAT166,3.68,1902-032
MAT035,2.97,1902-033
MAT113,2.85,1902-034
MAT034,5.9,1902-035
MAT035,5.3,1902-036
MAT167,4.6,1902-037
MAT050,3.15,1902-038
MAT013,2.147,1902-039
MAT020,0.6933,1902-040
MAT057,1.0218,1902-041
MAT133,9.5,1902-042
VAR118,0.2966,1902-043
MAT038,4.2,1902-044
MAT069,1.1,1902-045
MAT037,10.5,1902-046
MAT048,5.8,1902-047
MAT042,3.8,1902-048
MAT073,0.8452,1902-049
MAT033,0.5328,1902-050
MAT119,3.69,1902-051
MAT041,1.68,1902-052
MAT068,13.35,1902-053
MAT068,5.0,1902-055
VAR142,0.3295,1902-056
MAT113,2.85,1902-057
MAT050,3.15,1902-058
MAT021,1.8878,1902-059
MAT104,0.0423,1902-060
MAT041,1.68,1902-061
MAT033,0.5328,1902-062
MAT035,5.5,1902-063
MAT046,4.95,1902-064
MAT019,6.9,1902-065
MAT048,5.8,1902-066
MAT021,1.888,1902-067
MAT045,3.781,1902-068
MAT039,20.0,1902-069
MAT113,2.85,1902-072
MAT050,3.15,1902-073
MAT041,1.68,1902-074
MAT174,1.7,1902-075
MAT042,3.8,1902-076
MAT048,5.85,1902-077
MAT034,5.9,1903-001
MAT035,5.3,1903-002
MAT035,5.5,1903-003
MAT046,4.95,1903-004
MAT035,6.0,1903-005
MAT073,0.8452,1903-006
MAT104,0.0423,1903-007
MAT017,0.2396,1903-008
MAT011,2.4,1903-009
MAT166,3.68,1903-010
MAT035,5.5,1903-011
MAT038,4.2,1903-012
MAT035,5.3,1903-013
MAT032,3.15,1903-014
MAT071,5.92,1903-015
MAT021,1.888,1903-016
MAT035,5.3,1903-017
MAT137,5.07,1903-018
MAT060,0.636,1903-019
MAT033,0.5328,1903-020
MAT048,5.8,1903-021
MAT020,0.56,1903-022
MAT013,3.2133,1903-023
MAT158,2.6,1903-024
MAT035,5.5,1903-025
MAT154,2.03,1903-026
MAT021,1.888,1903-027
MAT035,5.7,1903-028
MAT013,3.2728,1903-029
MAT164,54.93,1903-030
MAT045,2.558,1903-031
MAT043,2.2,1903-032
MAT033,0.5328,1903-033
MAT073,0.8452,1903-034
MAT042,3.8,1903-035
MAT178,6.0,1903-036
VAR121,1.29,1903-037
MAT011,2.4,1903-038
MAT020,0.6933,1903-039
MAT057,1.0218,1903-040
MAT013,2.147,1903-041
MAT015,3.0,1903-042
MAT014,6.5,1903-043
MAT014,10.0,1903-044
MAT013,2.147,1903-045
MAT035,5.6,1903-046
MAT075,6.9576,1903-047
MAT045,2.3544,1903-048
MAT185,3.45,1903-049
MAT186,2.3546,1903-050
MAT144,0.0165,1903-051
MAT183,0.0205,1903-052
MAT038,2.95,1903-053
MAT021,1.888,1903-054
MAT174,1.7,1903-055
MAT017,0.2396,1903-056
MAT104,0.0423,1903-057
MAT133,9.5,1903-058
MAT016,205.5395,1904-001
MAT119,3.8,1904-002
MAT037,10.5,1904-003
MAT036,3.5,1904-004
MAT062,1.0,1904-005
MAT063,1.5,1904-006
MAT030,0.6,1904-007
MAT038,4.5,1904-008
MAT067,10.6,1904-009
MAT178,6.0,1904-010
MAT074,4.8333,1904-011
MAT166,3.68,1904-012
MAT048,5.8,1904-013
MAT048,5.8,1904-014
MAT034,6.5,1904-015
MAT021,1.8878,1904-016
MAT132,8.2,1904-017
MAT132,8.2,1904-018
MAT112,5.9,1904-019
MAT040,1.95,1904-020
MAT021,1.8878,1904-021
MAT030,0.54,1904-022
MAT042,3.8,1904-023
MAT187,3.95,1904-024
MAT038,4.5,1904-025
MAT113,2.85,1904-026
MAT044,3.8,1904-027
MAT034,5.9,1904-028
MAT035,5.6,1904-029
MAT119,3.19,1904-030
MAT070,30.0,1904-031
MAT121,6.3187,1904-032
VAR119,0.0835,1904-033
MAT068,5.0,1904-034
MAT068,14.95,1904-035
MAT068,16.15,1904-036
MAT099,7.1896,1904-038
MAT027,0.8,1904-039
MAT189,1.65,1904-040
MAT036,3.5,1904-041
MAT058,5.75,1904-042
MAT038,4.5,1904-043
MAT188,0.8983,1904-044
MAT055,9.333,1904-045
MAT057,1.026,1904-047
MAT185,3.45,1904-048
MAT191,6.7444,1904-050
MAT021,1.8878,1904-051
MAT048,5.8,1904-052
MAT154,2.03,1904-053
MAT074,4.8333,1904-054
VAR134,0.0835,1904-055
VAR122,5.03,1904-056
MAT041,1.8,1904-057
MAT033,0.5328,1904-058
MAT073,0.8452,1904-059
MAT166,3.68,1904-060
MAT130,3.25,1904-061
MAT129,3.65,1904-062
MAT037,10.5,1904-063
MAT046,4.95,1904-064
MAT192,5.48,1904-065
MAT193,17.1935,1904-066
MAT137,5.07,1904-067
MAT050,3.15,1904-068
MAT133,9.5,1904-069
MAT071,5.92,1904-070
MAT057,1.0218,1904-071
MAT189,1.65,1904-072
MAT048,5.8,1904-073
MAT042,3.8,1904-074
MAT09,658.8,1904-075
MAT186,2.33,1904-076
MAT128,6.2486,1904-077
MAT191,6.74,1904-078
MAT190,1.5384,1904-079
MAT188,1.259,1904-080
VAR142,0.3294,1904-081
MAT075,6.9576,1904-082
MAT020,0.693,1904-083
MAT057,1.0218,1904-084
MAT019,6.9,1904-085
MAT164,54.93,1904-086
MAT039,20.0,1904-087
MAT139,7.72,1904-088
MAT035,5.6,1905-001
MAT033,0.5328,1905-002
MAT073,0.8452,1905-003
MAT035,5.7,1905-004
MAT185,3.45,1905-005
VAR056,17.5,1905-006
MAT021,1.888,1905-007
MAT190,2.1375,1905-008
