id_orden,fecha_fabricacion,articulo,lote_articulo,unidades_fabricadas,componente,lote_componente,coste_componente_unitario,consumo_unitario,consumo_total,flag_coste_calculado
FV-8752,2024-01-02,FCAR008,281223,217.0,MAUX002,2308-104,0.4748,1.27,275.72,True
FV-8748,2024-01-02,SEM099,301223,131.13,MAT349,2311-104,9.615,0.02,2.82,True
FV-8747,2024-01-02,SEM085,291223,899.0,MAT391,2312-007,3.5,0.31,282.26,True
FV-8755,2024-01-02,SCRE010,030124,936.0,VAR423,2309-080,0.2608,0.17,156.0,True
FV-8749,2024-01-02,SEM109,291223,141.0,MAUX001,2308-103,0.2381,0.42,59.71,True
FV-8749,2024-01-02,SEM109,291223,141.0,MAT183,2312-012,0.0205,1.13,160.0,True
FV-8749,2024-01-02,SEM109,291223,141.0,MAT388,2310-066,11.34,0.02,3.3,True
FV-8749,2024-01-02,SEM109,291223,141.0,MAT262,2311-101,6.629,0.01,1.05,True
FV-8748,2024-01-02,SEM099,301223,131.13,MAT033,2312-019,1.15,0.08,10.36,True
FV-8755,2024-01-02,SCRE010,030124,936.0,VAR424,2312-092,0.2102,1.0,936.0,True
FV-8746,2024-01-02,SCRE036,291223,7872.0,MAUX024,2309-112,0.0922,0.24,1864.09,True
FV-8752,2024-01-02,FCAR008,281223,217.0,MAT183,2312-012,0.0205,12.04,2612.0,True
FV-8749,2024-01-02,SEM109,291223,141.0,MAUX002,2308-104,0.4748,0.42,59.71,True
FV-8727,2024-01-02,SCRE010,271223,2052.0,VAR423,2309-080,0.2608,0.17,342.0,True
FV-8751,2024-01-02,SCRE049,030124,1656.0,VAR417,2309-012,0.016,0.17,277.0,True
FV-8727,2024-01-02,SCRE010,271223,2052.0,VAR417,2309-012,0.016,0.17,344.0,True
FV-8753,2024-01-02,FCAR019,181223,60.0,VAR417,2309-012,0.016,1.02,61.0,True
FV-8752,2024-01-02,FCAR008,281223,217.0,VAR417,2309-012,0.016,1.0,218.0,True
FV-8751,2024-01-02,SCRE049,030124,1656.0,VAR423,2312-048,0.2608,0.01,20.0,True
FV-8744,2024-01-02,SCRE061,281223,96.0,MAUX014,2310-031,0.2739,1.0,96.0,True
FV-8746,2024-01-02,SCRE036,291223,7872.0,MAUX042,2311-132,0.025,1.11,8747.0,True
FV-8746,2024-01-02,SCRE036,291223,7872.0,MAUX020,2312-078,0.2328,0.08,656.0,True
FV-8743,2024-01-02,SEM118,281223,965.0,MAUX049,2311-129,0.025,1.0,968.0,True
FV-8755,2024-01-02,SCRE010,030124,936.0,MAUX016,2308-043,0.0012,1.01,944.0,True
FV-8751,2024-01-02,SCRE049,030124,1656.0,MAUX016,2308-043,0.0012,1.0,1663.0,True
FV-8744,2024-01-02,SCRE061,281223,96.0,VAR113,2306-011,0.0097,1.01,97.0,True
