articulo,lote_proveedor,lote_componente,clave_unica
FPOS009,021120,                   021120,FPOS009-                   021120
SEM016,031120,                   031120,SEM016-                   031120
SEM053,031120,                   031120,SEM053-                   031120
SEM016,041120,                   041120,SEM016-                   041120
FPOS009,051020,                   051020,FPOS009-                   051020
FPOS010,061020,                   061020,FPOS010-                   061020
SEM005,061120,                   061120,SEM005-                   061120
FCAR031,071020,                   071020,FCAR031-                   071020
FCAR024,071020,                   071020,FCAR024-                   071020
FCAR002,071020,                   071020,FCAR002-                   071020
FTAR001,081020,                   081020,FTAR001-                   081020
FPOS015,100720,                   100720,FPOS015-                   100720
SEM005,141020,                   141020,SEM005-                   141020
SEM004,150920,                   150920,SEM004-                   150920
FPOS010,151020,                   151020,FPOS010-                   151020
FCAR020,161020,                   161020,FCAR020-                   161020
FTAR002,161020,                   161020,FTAR002-                   161020
FPOS009,170720,                   170720,FPOS009-                   170720
SEM015,190820,                   190820,SEM015-                   190820
FCAR002,191020,                   191020,FCAR002-                   191020
FGRA001,191020,                   191020,FGRA001-                   191020
FCAR031,191020,                   191020,FCAR031-                   191020
FCAR024,191020,                   191020,FCAR024-                   191020
FTAR003,201020,                   201020,FTAR003-                   201020
FGUA005,201020,                   201020,FGUA005-                   201020
SCCO002,201020,                   201020,SCCO002-                   201020
FCAR012,211020,                   211020,FCAR012-                   211020
FCAR011,211020,                   211020,FCAR011-                   211020
SEM044,220920,                   220920,SEM044-                   220920
SEM053,231020,                   231020,SEM053-                   231020
SEM004,231020,                   231020,SEM004-                   231020
SEM005,240720,                   240720,SEM005-                   240720
FCAR005,250820,                   250820,FCAR005-                   250820
SEM005,270720,                   270720,SEM005-                   270720
SEM053,271020,                   271020,SEM053-                   271020
SEM004,280920,                   280920,SEM004-                   280920
SEM016,281020,                   281020,SEM016-                   281020
FTAR003,290720,                   290720,FTAR003-                   290720
FPOS015,290720,                   290720,FPOS015-                   290720
FPES001,291020,                   291020,FPES001-                   291020
FCAR005,300720,                   300720,FCAR005-                   300720
FCAR006,300720,                   300720,FCAR006-                   300720
FCAR039,310720,                   310720,FCAR039-                   310720
FPOS010,310720,                   310720,FPOS010-                   310720
SEM047,(SIN LOTE),(SIN LOTE),SEM047-(SIN LOTE)
            176,.,.,            176-.
FTAR001,.,.,FTAR001-.
FCAR004,.,.,FCAR004-.
FCAR005,.,.,FCAR005-.
MAT008,.144294872,.144294872,MAT008-.144294872
VAR113,0011118,0011118,VAR113-0011118
SEM065,0050521,0050521,SEM065-0050521
SEM092,0051022,0051022,SEM092-0051022
MAT014,0071218,0071218,MAT014-0071218
MAT146,0091218,0091218,MAT146-0091218
MAT023,0101218,0101218,MAT023-0101218
ELAB005,010123,010123,ELAB005-010123
SEM102,010124,010124,SEM102-010124
FPOS009,010125,010125,FPOS009-010125
FGAR015,010125,010125,FGAR015-010125
SEM129,010125,010125,SEM129-010125
FCAR007,010219,010219,FCAR007-010219
FPES003,010219,010219,FPES003-010219
FGRA001,010220,010220,FGRA001-010220
SCRE010,010221,010221,SCRE010-010221
SCRE036,010222,010222,SCRE036-010222
FCAR016,010222,010222,FCAR016-010222
FPOS009,010222,010222,FPOS009-010222
SCRE048,010223,010223,SCRE048-010223
SCRE049,010223,010223,SCRE049-010223
SEM083,010223,010223,SEM083-010223
FPOS015,010223,010223,FPOS015-010223
SCRE044,010223,010223,SCRE044-010223
FPES001,010223,010223,FPES001-010223
SCRE045,010223,010223,SCRE045-010223
FCAR001,010224,010224,FCAR001-010224
FPER046,010224,010224,FPER046-010224
FGUA001,010224,010224,FGUA001-010224
SCRE046,010224,010224,SCRE046-010224
SCRE060,010224,010224,SCRE060-010224
SEM121,010224,010224,SEM121-010224
SEM116,010224,010224,SEM116-010224
SCRE042,010224,010224,SCRE042-010224
FPER050,010224,010224,FPER050-010224
SCRE063,010224,010224,SCRE063-010224
SEM113,010224,010224,SEM113-010224
SEM115,010224,010224,SEM115-010224
SCRE047,010224,010224,SCRE047-010224
SCRE059,010224,010224,SCRE059-010224
FCAR002,010319,010319,FCAR002-010319
SCCO002,010321,010321,SCCO002-010321
SEM047,010321,010321,SEM047-010321
SEM016,010321,010321,SEM016-010321
SCRE010,010321,010321,SCRE010-010321
SCRE019,010321,010321,SCRE019-010321
SCCO006,010321,010321,SCCO006-010321
FPOS015,010322,010322,FPOS015-010322
ELAB005,010322,010322,ELAB005-010322
SEM085,010322,010322,SEM085-010322
SEM092,010322,010322,SEM092-010322
SCRE044,010323,010323,SCRE044-010323
SCRE049,010323,010323,SCRE049-010323
SCRE010,010323,010323,SCRE010-010323
SEM095,010323,010323,SEM095-010323
FPER050,010323,010323,FPER050-010323
SCRE045,010323,010323,SCRE045-010323
SCRE048,010323,010323,SCRE048-010323
SEM095,010324,010324,SEM095-010324
FPOS010,010324,010324,FPOS010-010324
FCAR047,010324,010324,FCAR047-010324
FPER051,010324,010324,FPER051-010324
FCAR001,010324,010324,FCAR001-010324
FPOS016,010324,010324,FPOS016-010324
SEM123,010324,010324,SEM123-010324
FCAR001,010325,010325,FCAR001-010325
FPOS009,010419,010419,FPOS009-010419
FCAR002,010419,010419,FCAR002-010419
FCAR008,010419,010419,FCAR008-010419
SCRE026,010421,010421,SCRE026-010421
SCRE020,010421,010421,SCRE020-010421
SCRE025,010421,010421,SCRE025-010421
SCRE022,010421,010421,SCRE022-010421
FTAR003,010422,010422,FTAR003-010422
SCRE031,010422,010422,SCRE031-010422
FPER035,010422,010422,FPER035-010422
SEM077,010422,010422,SEM077-010422
SCRE037,010422,010422,SCRE037-010422
SEM076,010422,010422,SEM076-010422
SCRE043,010422,010422,SCRE043-010422
SEM088,010422,010422,SEM088-010422
SEM087,010422,010422,SEM087-010422
FPER032,010422,010422,FPER032-010422
SCRE032,010422,010422,SCRE032-010422
SCRE038,010422,010422,SCRE038-010422
SEM089,010422,010422,SEM089-010422
SEM074,010422,010422,SEM074-010422
SEM075,010422,010422,SEM075-010422
SEM085,010423,010423,SEM085-010423
SEM129,010425,010425,SEM129-010425
FCAR024,010425,010425,FCAR024-010425
SEM102,010425,010425,SEM102-010425
SEM046,010425,010425,SEM046-010425
FPOS009,010425,010425,FPOS009-010425
FCAR002,010425,010425,FCAR002-010425
SEM085,010425,010425,SEM085-010425
SCRE036,010523,010523,SCRE036-010523
FPOS015,010620,010620,FPOS015-010620
FPER050,010621,010621,FPER050-010621
SEM078,010621,010621,SEM078-010621
FCAR008,010621,010621,FCAR008-010621
FCAR016,010621,010621,FCAR016-010621
ELAB005,010621,010621,ELAB005-010621
FPOS010,010621,010621,FPOS010-010621
SEM047,010621,010621,SEM047-010621
SCRE045,010622,010622,SCRE045-010622
FCAR012,010622,010622,FCAR012-010622
FPOS009,010622,010622,FPOS009-010622
FPES001,010622,010622,FPES001-010622
SCRE044,010622,010622,SCRE044-010622
FAR009,010622,010622,FAR009-010622
FCAR011,010622,010622,FCAR011-010622
SCRE010,010622,010622,SCRE010-010622
SCRE049,010622,010622,SCRE049-010622
SCRE036,010622,010622,SCRE036-010622
SCRE048,010622,010622,SCRE048-010622
SCRE063,010623,010623,SCRE063-010623
SEM115,010623,010623,SEM115-010623
SCRE047,010623,010623,SCRE047-010623
FCAR003,010623,010623,FCAR003-010623
SEM005,010623,010623,SEM005-010623
SEM072,010623,010623,SEM072-010623
SCRE046,010623,010623,SCRE046-010623
SCRE062,010623,010623,SCRE062-010623
SCRE059,010623,010623,SCRE059-010623
SEM117,010623,010623,SEM117-010623
SEM116,010623,010623,SEM116-010623
SEM113,010623,010623,SEM113-010623
SCRE060,010623,010623,SCRE060-010623
ELAB005,010623,010623,ELAB005-010623
FCAR007,010719,010719,FCAR007-010719
FPES001,010719,010719,FPES001-010719
SCCO002,010719,010719,SCCO002-010719
FCAR031,010719,010719,FCAR031-010719
FCAR024,010719,010719,FCAR024-010719
FCAR021,010719,010719,FCAR021-010719
FPES004,010720,010720,FPES004-010720
ELAB005,010720,010720,ELAB005-010720
FCAR016,010720,010720,FCAR016-010720
FGUA001,010720,010720,FGUA001-010720
FCAR019,010721,010721,FCAR019-010721
SEM005,010721,010721,SEM005-010721
FPOS005,010721,010721,FPOS005-010721
SEM060,010721,010721,SEM060-010721
FCAR031,010721,010721,FCAR031-010721
FPES005,010721,010721,FPES005-010721
FCAR024,010721,010721,FCAR024-010721
FCAR002,010721,010721,FCAR002-010721
SCRE041,010722,010722,SCRE041-010722
ELAB005,010722,010722,ELAB005-010722
SEM088,010722,010722,SEM088-010722
SCRE051,010722,010722,SCRE051-010722
FPOS009,010722,010722,FPOS009-010722
SEM085,010722,010722,SEM085-010722
FCAR011,010722,010722,FCAR011-010722
SCRE038,010722,010722,SCRE038-010722
FCAR001,010722,010722,FCAR001-010722
SCRE050,010722,010722,SCRE050-010722
SEM086,010722,010722,SEM086-010722
FCAR008,010723,010723,FCAR008-010723
SEM107,010723,010723,SEM107-010723
SEM096,010723,010723,SEM096-010723
FPES001,010724,010724,FPES001-010724
FPOS010,010724,010724,FPOS010-010724
SEM095,010724,010724,SEM095-010724
SEM123,010724,010724,SEM123-010724
SCRE049,010724,010724,SCRE049-010724
SCRE068,010724,010724,SCRE068-010724
SCRE048,010724,010724,SCRE048-010724
SEM096,010724,010724,SEM096-010724
SCRE036,010724,010724,SCRE036-010724
SCRE010,010724,010724,SCRE010-010724
FPOS010,010819,010819,FPOS010-010819
FCAR001,010819,010819,FCAR001-010819
FCAR007,010819,010819,FCAR007-010819
SCRE010,010822,010822,SCRE010-010822
SEM085,010822,010822,SEM085-010822
SCRE049,010822,010822,SCRE049-010822
SCRE036,010822,010822,SCRE036-010822
FCAR024,010822,010822,FCAR024-010822
SCRE048,010822,010822,SCRE048-010822
FCAR031,010823,010823,FCAR031-010823
SEM085,010823,010823,SEM085-010823
SEM096,010823,010823,SEM096-010823
SCRE036,010823,010823,SCRE036-010823
FPOS015,010823,010823,FPOS015-010823
SEM082,010823,010823,SEM082-010823
SCRE046,010824,010824,SCRE046-010824
SEM129,010824,010824,SEM129-010824
FCAR019,010824,010824,FCAR019-010824
SCRE047,010824,010824,SCRE047-010824
SEM005,010824,010824,SEM005-010824
SCRE069,010824,010824,SCRE069-010824
SEM126,010824,010824,SEM126-010824
FPOS009,010824,010824,FPOS009-010824
SEM109,010824,010824,SEM109-010824
SCRE068,010824,010824,SCRE068-010824
SEM125,010824,010824,SEM125-010824
FPOS005,010920,010920,FPOS005-010920
FTAR002,010920,010920,FTAR002-010920
FGUA001,010920,010920,FGUA001-010920
FCAR012,010921,010921,FCAR012-010921
SEM005,010921,010921,SEM005-010921
SEM093,010921,010921,SEM093-010921
SCRE034,010921,010921,SCRE034-010921
FCAR019,010921,010921,FCAR019-010921
SCRE010,010921,010921,SCRE010-010921
SEM086,010922,010922,SEM086-010922
SCRE041,010922,010922,SCRE041-010922
SEM005,010922,010922,SEM005-010922
SCRE052,010922,010922,SCRE052-010922
FCAR001,010922,010922,FCAR001-010922
SCRE047,010922,010922,SCRE047-010922
SEM088,010922,010922,SEM088-010922
FCAR019,010922,010922,FCAR019-010922
FTAR002,010922,010922,FTAR002-010922
SCRE036,010922,010922,SCRE036-010922
SCRE038,010922,010922,SCRE038-010922
FPOS005,010922,010922,FPOS005-010922
SEM087,010922,010922,SEM087-010922
SCRE046,010922,010922,SCRE046-010922
SEM099,010923,010923,SEM099-010923
FPES001,010923,010923,FPES001-010923
FCAR001,010923,010923,FCAR001-010923
SCRE061,010923,010923,SCRE061-010923
SCRE036,010923,010923,SCRE036-010923
SEM118,010923,010923,SEM118-010923
FCAR002,011018,011018,FCAR002-011018
FCAR011,011018,011018,FCAR011-011018
FCAR005,011019,011019,FCAR005-011019
FGRA001,011019,011019,FGRA001-011019
FTAR003,011019,011019,FTAR003-011019
FCAR007,011019,011019,FCAR007-011019
FCAR003,011019,011019,FCAR003-011019
FCAR001,011020,011020,FCAR001-011020
FCAR008,011020,011020,FCAR008-011020
FGUA001,011020,011020,FGUA001-011020
FCAR001,011021,011021,FCAR001-011021
SCRE025,011021,011021,SCRE025-011021
SEM053,011021,011021,SEM053-011021
SCRE020,011021,011021,SCRE020-011021
SEM075,011021,011021,SEM075-011021
SCRE036,011021,011021,SCRE036-011021
SCRE033,011021,011021,SCRE033-011021
SEM086,011021,011021,SEM086-011021
SEM088,011021,011021,SEM088-011021
SCRE021,011021,011021,SCRE021-011021
SCRE038,011021,011021,SCRE038-011021
SEM047,011021,011021,SEM047-011021
FCAR002,011024,011024,FCAR002-011024
FCAR024,011024,011024,FCAR024-011024
SEM102,011024,011024,SEM102-011024
FPER050,011024,011024,FPER050-011024
SEM096,011024,011024,SEM096-011024
SEM123,011024,011024,SEM123-011024
FCAR024,011121,011121,FCAR024-011121
SEM047,011121,011121,SEM047-011121
FCAR002,011121,011121,FCAR002-011121
FPOS009,011121,011121,FPOS009-011121
SEM053,011122,011122,SEM053-011122
SEM046,011123,011123,SEM046-011123
SEM005,011123,011123,SEM005-011123
FGRA001,011218,011218,FGRA001-011218
SEM053,011220,011220,SEM053-011220
SCCO002,011220,011220,SCCO002-011220
SEM046,011220,011220,SEM046-011220
SCRE011,011220,011220,SCRE011-011220
SEM020,011220,011220,SEM020-011220
FPOS009,011220,011220,FPOS009-011220
SCRE015,011220,011220,SCRE015-011220
SEM089,011221,011221,SEM089-011221
SEM086,011221,011221,SEM086-011221
SCRE038,011221,011221,SCRE038-011221
SCRE026,011221,011221,SCRE026-011221
SEM075,011221,011221,SEM075-011221
SEM074,011221,011221,SEM074-011221
SEM088,011221,011221,SEM088-011221
SEM087,011221,011221,SEM087-011221
