lote_interno,coste_componente_unitario,componente
2305-001,27.4909,FCRO001
2307-083,28.8,FCRO001
2310-013,28.8,FCRO001
2312-003,28.8,FCRO001
2404-008,27.491,FCRO001
2405-059,28.8,FCRO001
2406-084,28.8,FCRO001
2408-108,28.8,FCRO001
2409-002,28.8,FCRO001
2410-087,28.8,FCRO001
2412-051,28.8,FCRO001
2501-090,28.8,FCRO001
2305-002,29.1956,FCRO002
2307-087,30.88,FCRO002
2404-009,30.88,FCRO002
2501-091,30.88,FCRO002
2305-003,26.5105,FCRO003
2307-085,28.55,FCRO003
2312-004,28.04,FCRO003
2406-085,28.04,FCRO003
2408-109,28.04,FCRO003
2409-003,28.04,FCRO003
2501-008,28.04,FCRO003
2305-004,27.6829,FCRO004
2307-084,29.28,FCRO004
2404-010,28.215,FCRO004
2409-098,29.28,FCRO004
2503-141,29.28,FCRO004
2305-005,26.1701,FCRO005
2307-086,27.68,FCRO005
2310-014,27.68,FCRO005
2404-011,26.42,FCRO005
2409-099,27.68,FCRO005
2501-009,27.68,FCRO005
2405-023,28.8,FCRO006
2412-077,28.8,FCRO006
2502-017,28.8,FCRO006
2503-142,28.8,FCRO006
2412-078,30.88,FCRO007
2412-075,28.04,FCRO008
2412-076,29.28,FCRO009
2412-074,27.68,FCRO010
2406-018,30.88,FGAR001
2407-063,30.88,FGAR001
2406-017,28.04,FGAR002
2407-062,28.04,FGAR002
2503-143,28.04,FGAR002
2406-020,27.68,FGAR003
2502-015,27.68,FGAR003
2406-016,28.8,FGAR004
2407-061,28.8,FGAR004
2501-010,28.8,FGAR004
2503-144,28.8,FGAR004
2406-019,29.28,FGAR005
2502-016,29.28,FGAR005
2405-063,1.5192,FMUE010
1902-022,0.1648,MAT003
1912-036,0.165,MAT003
2211-111,0.2125,MAT003
1906-027,0.0774,MAT004
1912-037,0.077,MAT004
2108-051,0.0966,MAT004
2203-035,0.1056,MAT004
1902-023,0.1327,MAT005
1912-035,0.133,MAT005
2106-096,0.1657,MAT005
2204-006,0.1773,MAT005
2207-115,0.218,MAT005
2211-110,0.2056,MAT005
1906-020,0.0,MAT006
1906-019,0.0,MAT007
1903-009,2.4,MAT011
1903-038,2.4,MAT011
1905-063,2.4,MAT011
1906-021,2.4,MAT011
1906-024,2.4,MAT011
1909-087,2.4,MAT011
1911-077,2.4,MAT011
2001-062,2.4,MAT011
2003-013,2.4,MAT011
2008-029,2.4,MAT011
2012-013,2.4,MAT011
1901-013,2.147,MAT013
1901-029,2.147,MAT013
1901-030,2.147,MAT013
1901-046,2.147,MAT013
1902-024,2.147,MAT013
1902-039,2.147,MAT013
1903-023,3.2133,MAT013
1903-029,3.2728,MAT013
1903-041,2.147,MAT013
1903-045,2.147,MAT013
1905-020,2.147,MAT013
1905-059,2.147,MAT013
1906-003,2.147,MAT013
1906-065,3.2,MAT013
1906-071,2.147,MAT013
1907-013,2.147,MAT013
1907-031,2.147,MAT013
1907-073,2.147,MAT013
1908-040,2.147,MAT013
1908-065,2.147,MAT013
1909-037,2.147,MAT013
1909-073,4.8,MAT013
1909-082,2.147,MAT013
1910-023,2.223,MAT013
1910-050,2.147,MAT013
1910-114,2.223,MAT013
1910-115,2.147,MAT013
1911-014,2.147,MAT013
1911-063,2.147,MAT013
1911-082,2.147,MAT013
1911-089,2.147,MAT013
1912-052,2.147,MAT013
1912-058,2.147,MAT013
1912-094,2.147,MAT013
2001-059,2.147,MAT013
2002-061,2.2,MAT013
2007-008,3.29,MAT013
2007-014,2.2,MAT013
2007-023,2.2,MAT013
2008-038,2.2,MAT013
2009-011,2.2,MAT013
2009-041,2.2,MAT013
2010-029,2.2,MAT013
2011-009,2.2,MAT013
2011-057,2.2,MAT013
2103-061,2.2,MAT013
2105-064,2.2,MAT013
2106-071,2.2,MAT013
2108-013,2.1561,MAT013
2108-086,2.2,MAT013
2111-091,2.244,MAT013
2111-173,2.244,MAT013
2202-032,2.2889,MAT013
2203-048,2.2889,MAT013
2205-078,2.4263,MAT013
2206-092,3.12,MAT013
2207-043,3.5,MAT013
2208-109,3.9975,MAT013
2209-044,3.635,MAT013
2209-083,3.635,MAT013
2211-074,3.635,MAT013
2212-012,3.635,MAT013
2301-048,3.635,MAT013
2303-097,3.635,MAT013
2305-008,3.635,MAT013
2305-042,3.635,MAT013
2305-094,3.635,MAT013
2307-037,3.635,MAT013
2307-077,3.635,MAT013
2308-062,3.635,MAT013
2309-002,3.635,MAT013
2309-100,3.635,MAT013
2310-084,3.635,MAT013
2311-038,3.635,MAT013
2311-110,3.635,MAT013
2312-030,3.635,MAT013
2312-107,3.635,MAT013
2401-028,3.635,MAT013
2402-018,3.635,MAT013
2402-094,3.635,MAT013
2403-017,3.635,MAT013
2403-123,3.635,MAT013
2404-092,3.635,MAT013
2405-010,3.635,MAT013
2405-046,3.635,MAT013
2405-119,3.635,MAT013
2407-037,3.635,MAT013
2407-051,3.635,MAT013
2407-122,3.635,MAT013
2408-071,3.635,MAT013
2410-028,4.134,MAT013
2410-070,4.1695,MAT013
2411-044,4.763,MAT013
2411-097,4.763,MAT013
2412-071,4.763,MAT013
2501-042,4.763,MAT013
2502-007,4.763,MAT013
2502-073,4.7651,MAT013
2503-023,4.7651,MAT013
2503-077,4.7651,MAT013
2504-026,4.7651,MAT013
1901-018,10.0,MAT014
1903-043,6.5,MAT014
1903-044,10.0,MAT014
1905-066,6.5,MAT014
1905-067,10.0,MAT014
1907-010,6.499,MAT014
1907-011,10.0,MAT014
1907-012,25.0,MAT014
1908-062,6.5,MAT014
1908-063,10.0,MAT014
1908-069,24.0,MAT014
1910-015,10.0,MAT014
1910-016,6.5,MAT014
