articulo,lote_proveedor,lote_interno,linea
            176,.,.,PRODUCTO ACABADO
MAT008,.144294872,.144294872,PRODUCTO ACABADO
VAR113,0011118,0011118,PRODUCTO ACABADO
SEM065,0050521,0050521,SEMIELABORADO
SEM092,0051022,0051022,SEMIELABORADO
MAT014,0071218,0071218,PRODUCTO ACABADO
MAT146,0091218,0091218,PRODUCTO ACABADO
MAT023,0101218,0101218,PRODUCTO ACABADO
ELAB005,010123,010123,PRODUCTO ACABADO
SEM102,010124,010124,SEMIELABORADO
FGAR015,010125,010125,PRODUCTO ACABADO
FPOS009,010125,010125,PRODUCTO ACABADO
SEM129,010125,010125,SEMIELABORADO
FCAR007,010219,010219,PRODUCTO ACABADO
FPES003,010219,010219,PRODUCTO ACABADO
FGRA001,010220,010220,PRODUCTO ACABADO
SCRE010,010221,010221,PRODUCTO ACABADO
FCAR016,010222,010222,PRODUCTO ACABADO
FPOS009,010222,010222,PRODUCTO ACABADO
SCRE045,010223,010223,PRODUCTO ACABADO
SEM083,010223,010223,SEMIELABORADO
SCRE049,010223,010223,PRODUCTO ACABADO
SCRE044,010223,010223,PRODUCTO ACABADO
SCRE048,010223,010223,PRODUCTO ACABADO
FPES001,010223,010223,PRODUCTO ACABADO
FPOS015,010223,010223,PRODUCTO ACABADO
FGUA001,010224,010224,PRODUCTO ACABADO
FPER050,010224,010224,PRODUCTO ACABADO
SCRE063,010224,010224,PRODUCTO ACABADO
SCRE060,010224,010224,PRODUCTO ACABADO
SCRE059,010224,010224,PRODUCTO ACABADO
SEM116,010224,010224,SEMIELABORADO
SCRE047,010224,010224,PRODUCTO ACABADO
SEM121,010224,010224,SEMIELABORADO
FCAR001,010224,010224,PRODUCTO ACABADO
SCRE042,010224,010224,PRODUCTO ACABADO
SEM115,010224,010224,SEMIELABORADO
FPER046,010224,010224,PRODUCTO ACABADO
SEM113,010224,010224,SEMIELABORADO
FCAR002,010319,010319,PRODUCTO ACABADO
SCRE010,010321,010321,PRODUCTO ACABADO
SCRE019,010321,010321,PRODUCTO ACABADO
SCCO002,010321,010321,PRODUCTO ACABADO
SCCO006,010321,010321,PRODUCTO ACABADO
SEM047,010321,010321,SEMIELABORADO
SEM016,010321,010321,SEMIELABORADO
SEM092,010322,010322,SEMIELABORADO
FPOS015,010322,010322,PRODUCTO ACABADO
ELAB005,010322,010322,PRODUCTO ACABADO
SEM085,010322,010322,SEMIELABORADO
SCRE045,010323,010323,PRODUCTO ACABADO
SCRE010,010323,010323,PRODUCTO ACABADO
SCRE048,010323,010323,PRODUCTO ACABADO
SCRE049,010323,010323,PRODUCTO ACABADO
SEM095,010323,010323,SEMIELABORADO
SCRE044,010323,010323,PRODUCTO ACABADO
