Fecha Recepción;Nº Orden;Producto;Descripción Producto;Lote Producto;Unidades Fabricadas;Componente;Descripción Componente;Lote Componente;Línea;Familia;Consumo Teórico;Total Teórico;Consumo Unitario;Consumo Total;Coste Unitario;Coste Total
02/01/2024;FV-8752;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);281223;217,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;1,54;334,76;1,27;275,72;0,45;124,07
02/01/2024;FV-8748;SEM099;SEMIELABORADO SALSA RABO CON SETAS;301223;131,13;MAT349;TOMATE EN POLVO;J1121318;COMPONENTE;MATERIA PRIMA;0,02;2,47;0,02;2,82;9,62;27,15
02/01/2024;FV-8747;SEM085;SEMIELABORADO DE ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (BOLSA);291223;899,00;MAT391;ACEITE DE ORUJO DE OLIVA IBC 1.000 LITROS;30112305;COMPONENTE;MATERIA PRIMA;1,00;898,78;0,31;282,26;3,50;987,90
02/01/2024;FV-8755;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);030124;936,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1001912600;COMPONENTE;MATERIAL AUXILIAR;0,17;159,16;0,17;156,00;0,26;40,68
02/01/2024;FV-8749;SEM109;SEMIELABORADO FIDEUA LIDL/ALDI (BOLSA);291223;141,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,51;72,51;0,42;59,71;0,23;13,73
02/01/2024;FV-8749;SEM109;SEMIELABORADO FIDEUA LIDL/ALDI (BOLSA);291223;141,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;1,00;141,00;1,13;160,00;0,02;3,28
02/01/2024;FV-8749;SEM109;SEMIELABORADO FIDEUA LIDL/ALDI (BOLSA);291223;141,00;MAT388;COLORANTE NATURAL TABERNER;152415-1;COMPONENTE;MATERIA PRIMA;0,02;3,10;0,02;3,30;11,34;37,42
02/01/2024;FV-8749;SEM109;SEMIELABORADO FIDEUA LIDL/ALDI (BOLSA);291223;141,00;MAT262;PIMENTON DULCE AHUMADO;J1116704;COMPONENTE;MATERIA PRIMA;0,01;0,99;0,01;1,05;6,63;6,96
02/01/2024;FV-8748;SEM099;SEMIELABORADO SALSA RABO CON SETAS;301223;131,13;MAT033;AZUCAR;L23P461;COMPONENTE;MATERIA PRIMA;0,07;9,09;0,08;10,36;1,15;11,92
02/01/2024;FV-8755;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);030124;936,00;VAR424;ESTUCHE NUEVO SECRETO PX 190x115x45;12303224;COMPONENTE;MATERIAL AUXILIAR;1,02;954,94;1,00;936,00;0,21;196,75
02/01/2024;FV-8746;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);291223;7.872,00;MAUX024;FILM TERMOSELLADORA ULMA 235 PP EVOH PEEL 55MC (1000m);318497;COMPONENTE;MATERIAL AUXILIAR;0,23;1.834,26;0,24;1.864,09;0,09;171,87
02/01/2024;FV-8752;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);281223;217,00;MAT183;ETIQUETA P.P 110*110 IMPRESA;0130315-1;COMPONENTE;MATERIAL AUXILIAR;12,24;2.656,61;12,04;2.612,00;0,02;53,55
02/01/2024;FV-8749;SEM109;SEMIELABORADO FIDEUA LIDL/ALDI (BOLSA);291223;141,00;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,51;72,51;0,42;59,71;0,45;26,87
