Cód. artículo;Artículo;Tipo unidad (Obsoleto);Precio estándar;Precio compra;Ultimo precio compra;Familia;Línea;Tipo;Obsoleto;Peso;Peso neto artículo;
              0;NO USAR:Articulo sin codificar;Uds;0,0000;373,0000;400;POSTRES;FOODVAC;CONGELAD;Si;0;;
            176;LECHE EN POLVO;Kg;3,0000;3,0000;3;MP;COMPON;AMBIENTE;Si;0;;
            177;CER NO USAR;Uds;0,0000;0,0000;14,42;;;;Si;0;;
            456;OBSOLETO: ENVASES DE PAPEL Y CARTON;Uds;0,0000;0,0000;0;OTR-EXTR;VAR-VEN;AMBIENTE;Si;0;;
            472;ENVASES DE PAPEL Y CARTON (DUPLICADO);Uds;0,0000;0,0000;0;OTR-EXTR;VAR-VEN;AMBIENTE;Si;0;;
            473;FACTURACION RAPPELES 2022 (DUPLICADO);Uds;0,0000;0,0000;0;OTR-RAPP;VAR-VEN;;Si;0;;
            474;FAJIN COMPLETO PAELLA MIXTA;Uds;0,0980;0,0980;0;MAUX;COMPON;AMBIENTE;No;0;;
BOLSA-FAR004;BOLSA- PREPARADO  ARROZ SECRETO CON BOLETUS;Uds;2,3845;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;0,4;;
BOLSA-FAR005;BOLSA- PREPARADO  ARROZ DE VERDURAS;Uds;1,8700;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;0,4;;
BOLSA-FAR006;BOLSA- PREPARADO  ARROZ AL HORNO;Uds;2,7100;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;0,95;;
BOLSA-FAR007;BOLSA- PREPARADO  ARROZ DE BOGAVANTE;Uds;5,4460;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;0,95;;
BOLSA-FAR008;BOLSA- PREPARADO ARROZ DE POLLO GRANJA CON VERDURAS;Uds;2,1500;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;0,625;;
BOLSA-FAR009;BOLSA- PREPARADO  ARROZ DE MARISCO;Uds;2,9831;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;1;;
BOLSA-FAR010;BOLSA- PREPARADO PAELLA VALENCIANA;Uds;2,1418;0,0000;0;ARROCES;FOODVAC;CONGELAD;Si;0,675;;
COD ERROR;COD ERROR EDI;Uds;0,0000;0,0000;0;;;;No;0;;
ELAB001;ELABORACION DE SORPRESA DE CERDO CON GRASA DE PATO;Uds;0,0000;0,0000;0;ELA-MAQ;VAR-VEN;CONGELAD;Si;0;;
ELAB002;CARRILLERA DE CERDO CONFITADA CON GRASA DE PATO;Uds;0,0000;0,0000;0;ELA-MAQ;VAR-VEN;CONGELAD;Si;0;;
ELAB003;COSTILLA DE BUEY A BAJA TEMPERATURA, ud;Uds;0,7980;0,0000;0;ELA-MAQ;VAR-VEN;CONGELAD;Si;0;;
