;Almacén;Artículo;Descripción;Stock Unidades;Ubicación;Lote/Nº Serie;Lote Interno;Fecha Entrada;Proveedor;Caducidad;Entradas Previstas;Salidas Previstas;Fecha Salida Prevista
False;NAVE 5;VAR383;ESTUCHE BASE CABECERO LOMO PLASTICO SELECTIUM;0,00;EXPEDICIÓN;0631019 INTERNO;;;;;;;
False;CONSUMO INTERNO GENERAL;VAR099;ACUMULADORES DE FRIO;0,00;;AGOSTO2019;;;;;;;
False;GENERAL;VAR099;ACUMULADORES DE FRIO;0,00;PPAA CONG;AGOSTO2019;;;;;;;
False;NAVE 5;VAR312;ESTUCHE TAPA NEGRO PLÁSTICO SELECTIUM;0,00;EXPEDICIÓN;0851909 INTERNO;;;;01/05/2020;;;
False;GENERAL;VAR384;ESTUCHE TAPA CABECERO LOMO PLASTICO SELECTIUM;0,00;;0631019 INTERNO;;;;;;;
False;GENERAL;VAR312;ESTUCHE TAPA NEGRO PLÁSTICO SELECTIUM;0,00;EXPEDICIÓN;0851909 INTERNO;;;;01/05/2020;;;
False;NAVE 5;VAR099;ACUMULADORES DE FRIO;0,00;PPAA CONG;AGOSTO2019;;;;;;;
False;NAVE 5;VAR384;ESTUCHE TAPA CABECERO LOMO PLASTICO SELECTIUM;0,00;EXPEDICIÓN;0631019 INTERNO;;;;;;;
False;GENERAL;VAR383;ESTUCHE BASE CABECERO LOMO PLASTICO SELECTIUM;0,00;;0631019 INTERNO;;;;;;;
False;GENERAL;MAT051;JENGIBRE FRESCO;0,00;;.;;;;02/05/2020;;;
False;GENERAL;MAT045;OBSOLETO: ACEITE DE OLIVA VIRGEN EXTRA GARRAFA 4.4 KG;0,00;;1231018;;;;29/05/2019;;;
False;GENERAL;MAT130;ACEITUNAS VERDES EN RODAJAS (1,56 KG ESCURRIDO);0,00;;411018;;;;01/10/2022;;;
False;GENERAL;MAT261;ÑORA;0,00;;2309323109E;;;;04/05/2023;;;
False;GENERAL;FCRO002;CROQUETAS QUESO AZUL SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;0,00;;20230504.01;;;;04/05/2023;;3,00;14/04/2025
False;GENERAL;MAT175;SOJA;0,00;;861018;;;;18/12/2019;;;
False;GENERAL;MAT074;DESMOLDANTE;0,00;;461018;;;;19/10/2019;;;
False;GENERAL;SEM005;SALSA DE VACUNO (BOLSA);0,00;;070524A;;;;05/11/2025;;;
False;GENERAL;SEM131;SEMIELABORADO TORRIJA UNIDADES;0,00;PPAA CONG;261224;;;;26/12/2025;;;
False;GENERAL;SEM074;BARQUETA PAELLA VALENCIANA (1 x 300);0,00;;170222;;;;18/03/2022;;;
False;GENERAL;MAT297;LANGOSTINO VANAMEY 50/60;0,00;MMPP CONG;PR282121-;;;;13/07/2023;;;
False;GENERAL;FPOS009;COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);0,00;;220822;;;;17/08/2023;;2,00;07/04/2025
False;GENERAL;MAT024;BOLETUS EDULIS (DESHIDRATADAS);0,00;;1711156BEL3D;;;;01/11/2019;;;
False;GENERAL;MAT296;AJO TIERNO CONGELADO;0,00;;(SIN LOTE);;;;13/10/2021;;;
False;GENERAL;MAT148;POLIPROPILENO HORNO 50*25 S-2;0,00;;A28/T48;;;;30/12/2029;;;
False;GENERAL;SEM102;SEMIELABORADO COCHINILLO DESHUESADO;0,00;PPAA CONG;040325;;;;04/09/2026;;;
False;GENERAL;VAR119;ENVASE FLOR 6 HUECO (GRATENES Y POSTRES);0,00;;27/06/18- ALB 12249;;;;30/12/2029;;;
False;GENERAL;MAT154;MARGARINA SUNORO CREMA CJ 20KG;0,00;;(SIN LOTE);;;;26/08/2024;;;
False;CARBÓ;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;0,00;MMPP CONG;ALB- 2025.A.140;;;;29/01/2026;;;
False;NAVE 5;MAT303;FIDEO NUMERO 4;0,00;SECOS;ALB-VAL24/001934;;;;11/02/2024;;;
False;GENERAL;MAT121;ESPECIAS TANDOORI;0,00;;7282L2B;;;;01/07/2019;;;
False;GENERAL;MAT137;COBERTURA DE CHOCOLATE BLANCO W2NV-01B GOTAS 10K;0,00;;180918;;;;05/08/2019;;;
False;VIRTUAL INCIDENCIAS;MAT021;HUEVO PASTEURIZADO ARTEOVO;0,00;;216623;;;;03/08/2023;;;
False;GENERAL;MAT357;PIEL DE COCHINILLO;0,00;MMPP CONG;7223/25423;;;;12/03/2026;;;
